 Morbidade Hospitalar do SUS - por local de internação - Paraná
Internações por Lista Morb  CID-10 e Ano atendimento
Período:2019
"Lista Morb  CID-10";"2018";"2019";"Total"
"01 Algumas doenças infecciosas e parasitárias";3630;39560;43190
".. Cólera";1;22;23
".. Febres tifóide e paratifóide";-;8;8
".. Shiguelose";-;18;18
".. Amebíase";1;10;11
".. Diarréia e gastroenterite origem infecc presum";391;5955;6346
".. Outras doenças infecciosas intestinais";197;3653;3850
".. Tuberculose respiratória";39;305;344
".... Tuberculose pulmonar";22;233;255
".... Outras tuberculoses respiratórias";17;71;88
".... Restante de tuberculose respiratória";-;1;1
".. Outras tuberculoses";1;27;28
".... Tuberculose do sistema nervoso";-;6;6
".... Tuberc intest peritônio glângl mesentéricos";-;2;2
".... Tuberculose óssea e das articulações";-;1;1
".... Tuberculose do aparelho geniturinário";-;2;2
".... Tuberculose miliar";1;12;13
".... Restante de outras tuberculoses";-;4;4
".. Peste";-;1;1
".. Brucelose";-;3;3
".. Hanseníase [lepra]";11;126;137
".. Outros tétanos";-;7;7
".. Difteria";-;8;8
".. Coqueluche";3;31;34
".. Infecção meningocócica";1;42;43
".. Septicemia";734;9075;9809
".. Outras doenças bacterianas";1648;13015;14663
".... Leptospirose icterohemorrágica";1;6;7
".... Outras formas de leptospirose";1;13;14
".... Leptospirose não especificada";13;125;138
".... Restante de outras doenças bacterianas";1633;12871;14504
".. Sífilis congênita";78;482;560
".. Sífilis precoce";-;11;11
".. Outras sífilis";16;87;103
".. Infecção gonocócica";-;4;4
".. Doenças por clamídias transmitidas via sexual";-;3;3
".. Outras infecções com transm predominant sexual";2;75;77
".. Febres recorrentes";1;76;77
".. Raiva";3;2;5
".. Encefalite viral";15;132;147
".. Febre amarela";-;11;11
".. Outras febre p/arbovírus e febr hemorr p/vírus";17;1683;1700
".... Dengue [dengue clásssico]";14;1608;1622
".... Febre hemorrágica devida ao vírus da dengue";-;43;43
".... Restante outr febr arbovírus febr hemor vírus";3;32;35
".. Infecções pelo vírus do herpes";8;79;87
".. Varicela e herpes zoster";96;267;363
".. Sarampo";-;4;4
".. Rubéola";1;-;1
".. Hepatite aguda B";14;54;68
".. Outras hepatites virais";4;158;162
".. Doença pelo vírus da imunodefic humana [HIV]";119;807;926
".. Caxumba [parotidite epidêmica]";4;28;32
".. Outras doenças virais";98;943;1041
".... Meningite viral";43;210;253
".... Restante de outras doenças virais";55;733;788
".. Micoses";10;164;174
".. Malária";2;12;14
".... Malária por Plasmodium vivax";1;2;3
".... Malária por Plasmodium malariae";-;1;1
