COQUELUCHE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Região/UF de notificação e Ano 1º Sintoma(s)
Período:2007-2019
"Região/UF de notificação";"Em Branco/ign";"<1975";"1988";"1991";"1999";"2000";"2002";"2003";"2004";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"Região Norte";-;-;-;-;1;-;-;-;-;-;137;293;230;52;97;310;354;470;226;92;94;80;62;2498
".. Rondônia";-;-;-;-;-;-;-;-;-;-;1;3;11;22;24;6;49;75;27;7;7;5;4;241
".. Acre";-;-;-;-;-;-;-;-;-;-;-;3;49;1;14;4;3;78;16;-;5;3;3;179
".. Amazonas";-;-;-;-;-;-;-;-;-;-;43;68;22;4;33;192;140;62;107;55;39;17;13;795
".. Roraima";-;-;-;-;-;-;-;-;-;-;2;2;-;1;5;7;18;9;4;5;21;5;21;100
".. Pará";-;-;-;-;1;-;-;-;-;-;79;65;76;23;15;69;81;98;25;4;3;31;12;582
".. Amapá";-;-;-;-;-;-;-;-;-;-;10;151;72;1;3;22;42;53;5;5;7;3;-;374
".. Tocantins";-;-;-;-;-;-;-;-;-;-;2;1;-;-;3;10;21;95;42;16;12;16;9;227
"Região Nordeste";-;-;-;1;-;-;-;-;1;7;129;209;166;114;421;676;1004;2884;949;329;389;683;670;8632
".. Maranhão";-;-;-;-;-;-;-;-;-;1;18;10;4;6;33;30;28;135;71;10;13;24;22;405
".. Piauí";-;-;-;-;-;-;-;-;-;-;2;1;1;2;1;9;102;382;163;33;31;29;31;787
".. Ceará";-;-;-;-;-;-;-;-;-;-;4;3;11;9;28;41;35;181;66;15;19;16;31;459
".. Rio Grande do Norte";-;-;-;-;-;-;-;-;-;1;12;14;24;14;64;144;101;90;66;27;14;22;24;617
".. Paraíba";-;-;-;-;-;-;-;-;-;1;2;6;1;3;4;12;33;55;17;-;6;3;1;144
".. Pernambuco";-;-;-;1;-;-;-;-;-;3;81;121;39;32;78;261;167;1200;397;191;252;407;486;3716
".. Alagoas";-;-;-;-;-;-;-;-;1;-;1;30;56;25;33;32;190;219;32;19;14;36;21;709
".. Sergipe";-;-;-;-;-;-;-;-;-;-;2;-;3;-;5;3;10;21;4;-;3;3;1;55
".. Bahia";-;-;-;-;-;-;-;-;-;1;7;24;27;23;175;144;338;601;133;34;37;143;53;1740
"Região Sudeste";-;2;1;-;-;-;1;2;1;7;312;477;267;239;1249;2703;3313;2889;1056;555;724;810;357;14965
".. Minas Gerais";-;2;-;-;-;-;-;1;-;3;40;82;74;22;79;302;460;351;248;110;178;234;165;2351
".. Espírito Santo";-;-;1;-;-;-;-;1;-;-;78;73;32;13;98;1104;1099;280;166;106;92;73;25;3241
".. Rio de Janeiro";-;-;-;-;-;-;-;-;-;1;44;75;20;27;173;251;150;109;91;78;50;41;32;1142
".. São Paulo";-;-;-;-;-;-;1;-;1;3;150;247;141;177;899;1046;1604;2149;551;261;404;462;135;8231
"Região Sul";-;-;-;-;-;-;-;-;-;16;231;332;201;136;377;1461;1253;1464;532;272;581;416;176;7448
".. Paraná";-;-;-;-;-;-;-;-;-;2;50;72;42;16;177;394;524;968;288;118;149;177;90;3067
".. Santa Catarina";-;-;-;-;-;-;-;-;-;9;45;46;25;17;52;302;213;241;119;46;120;72;29;1336
".. Rio Grande do Sul";-;-;-;-;-;-;-;-;-;5;136;214;134;103;148;765;516;255;125;108;312;167;57;3045
"Região Centro-Oeste";1;-;-;-;-;1;-;-;-;-;48;92;102;51;70;250;456;791;288;61;79;175;109;2574
".. Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;23;31;9;23;39;92;126;178;49;6;18;35;5;634
".. Mato Grosso";1;-;-;-;-;1;-;-;-;-;4;10;15;3;-;22;84;155;70;17;5;31;14;432
".. Goiás";-;-;-;-;-;-;-;-;-;-;12;13;23;6;3;44;75;157;55;6;16;19;12;441
".. Distrito Federal";-;-;-;-;-;-;-;-;-;-;9;38;55;19;28;92;171;301;114;32;40;90;78;1067
"Total";1;2;1;1;1;1;1;2;2;30;857;1403;966;592;2214;5400;6380;8498;3051;1309;1867;2164;1374;36117
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Excluídos casos não residentes no Brasil.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável
     de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial
     da série e todos os posteriores até o ano atual (p/ incluir casos notificados com atraso) e
     em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de
     sintomas 2007: selecione na linha UF de residência, na Coluna Ano de 1ºs sintomas, em Períodos
     disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007).
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 a 2017 atualizados em 01/07/2019.
 Dados de 2018 atualizados em 28/01/2020, dados sujeitos à revisão.
 Dados de 2019 atualizados em 23/01/2020, dados sujeitos à revisão.
 *Dados disponibilizados no TABNET em fevereiro/2020.
 
